key,year,bin,id,dom_ec,rank,power,group
329,2022,6,GPG,0.0158044878570478,2,0.984195512142952,2
330,2022,6,GOO,0.0165942197725149,3,0.983405780227485,2
331,2022,6,GOP,0.0191628039584465,4,0.980837196041554,2
332,2022,6,OBB,0.0289262363785336,5,0.971073763621466,2
333,2022,6,PPP,0.0336037421704886,6,0.966396257829511,2
334,2022,6,POO,0.0349637160334339,7,0.965036283966566,2
335,2022,6,OGO,0.0466365659111223,8,0.953363434088878,2
336,2022,6,OOP,0.199614672154704,9,0.800385327845296,2
337,2022,6,BBO,0.236196636854218,10,0.763803363145782,2
338,2022,6,PBP,0.35458008013956,11,0.64541991986044,2
339,2022,7,GPG,0.0119989339033383,2,0.988001066096662,2
340,2022,7,GOO,0.0153491181857294,3,0.984650881814271,2
341,2022,7,GGG,0.0186255815158601,4,0.98137441848414,2
342,2022,7,GOP,0.0195037017070382,5,0.980496298292962,2
343,2022,7,PPP,0.0462538886404227,6,0.953746111359577,2
344,2022,7,OGO,0.102758054166792,7,0.897241945833208,2
345,2022,7,POO,0.123455109502512,8,0.876544890497488,2
346,2022,7,OOP,0.159988592000932,9,0.840011407999068,2
347,2022,7,BBO,0.245994634563975,10,0.754005365436025,2
348,2022,7,PBP,0.2560723858134,11,0.7439276141866,2
349,2022,8,GOO,0.0311451097296836,2,0.968854890270316,2
350,2022,8,GGG,0.0466182904114737,3,0.953381709588526,2
351,2022,8,GPG,0.0477449283102005,4,0.9522550716898,2
352,2022,8,GOP,0.0580924725692045,5,0.941907527430796,2
353,2022,8,PPP,0.0711958826436914,6,0.928804117356309,2
354,2022,8,OOP,0.120233978785896,7,0.879766021214104,2
355,2022,8,PBP,0.130704134847696,8,0.869295865152304,2
356,2022,8,OGO,0.154546344650054,9,0.845453655349946,2
357,2022,8,BBO,0.168020430342715,10,0.831979569657285,2
358,2022,8,POO,0.171698427709386,11,0.828301572290614,2
359,2022,9,GOO,0.0320793980629665,1,0.967920601937033,2
360,2022,9,GPG,0.0327292830328006,2,0.967270716967199,2
361,2022,9,GGG,0.0383823999047885,3,0.961617600095211,2
362,2022,9,GOP,0.0501358091198028,4,0.949864190880197,2
363,2022,9,PPP,0.0671037617903363,5,0.932896238209664,2
364,2022,9,PBP,0.0754039103372446,6,0.924596089662755,2
